strategy_name,variety_name,sector,side,entry_date,exit_date,entry_price,exit_price,holding_days,pnl_ratio,entry_main_score,exit_reason
策略2_仅3槽_无板块互斥,沪铝,有色金属,short,2025-10-31,2025-11-04,21300.0,21465.0,2,-0.007746478873239437,0.3333333333333333,tp3_main_turn_up
策略2_仅3槽_无板块互斥,铁矿石,黑色系,short,2025-11-05,2025-11-12,776.0,774.0,5,0.002577319587628866,1.0,tp3_main_turn_up
策略2_仅3槽_无板块互斥,棕榈油,油脂油料,long,2025-11-07,2025-11-14,8660.0,8644.0,5,-0.0018475750577367205,0.8666666666666667,tp3_main_turn_down
策略2_仅3槽_无板块互斥,豆粕,油脂油料,short,2025-11-10,2025-11-26,3063.0,3015.0,12,0.015670910871694418,0.7666666666666667,tp3_main_turn_up
策略2_仅3槽_无板块互斥,沪铜,有色金属,long,2025-11-13,2025-11-18,87550.0,85650.0,3,-0.021701884637350087,0.6666666666666666,tp3_main_turn_down
策略2_仅3槽_无板块互斥,沪金,贵金属,short,2025-11-18,2025-11-25,921.34,946.5,5,-0.027308051316560625,1.0,tp3_main_turn_up
策略2_仅3槽_无板块互斥,沪铝,有色金属,short,2025-11-19,2025-11-26,21570.0,21455.0,5,0.005331478905887807,0.9333333333333333,tp3_main_turn_up
策略2_仅3槽_无板块互斥,甲醇,化工能化,long,2025-11-26,2025-12-03,2094.0,2128.0,5,0.01623686723973257,0.9666666666666667,tp3_main_turn_down
策略2_仅3槽_无板块互斥,豆粕,油脂油料,long,2025-11-27,2025-12-04,3055.0,2833.0,5,-0.07266775777414075,0.8,tp3_main_turn_down
策略2_仅3槽_无板块互斥,沪铝,有色金属,long,2025-11-28,2025-12-09,21610.0,21825.0,7,0.00994909763998149,0.7333333333333333,tp3_main_turn_down
策略2_仅3槽_无板块互斥,甲醇,化工能化,short,2025-12-04,2025-12-12,2113.0,2099.0,6,0.006625650733554188,0.7333333333333333,tp3_main_turn_up
策略2_仅3槽_无板块互斥,沪金,贵金属,short,2025-12-05,2025-12-11,961.04,957.9,4,0.0032672937650878075,0.23333333333333334,tp3_main_turn_up
策略2_仅3槽_无板块互斥,PTA,化工能化,short,2025-12-10,2025-12-12,4616.0,4674.0,2,-0.012564991334488735,0.9666666666666667,tp3_main_turn_up
策略2_仅3槽_无板块互斥,焦煤,黑色系,short,2025-12-15,2025-12-16,1061.0,1067.5,1,-0.006126295947219604,0.9333333333333333,tp3_main_turn_up
