pair,n,same_rate,opp_rate,binom_p_same,chi2_p,long_y_n,long_same_rate,short_y_n,short_same_rate,variety_id,variety_name,S
main~retail,174,0.20114942528735633,0.7873563218390804,7.174418512431921e-16,7.154475233594615e-15,76,0.18421052631578946,96,0.21875,5,沪铜,3
main~close,171,0.7134502923976608,0.28654970760233917,2.2682561847150252e-08,1.3647098483971172e-08,100,0.68,71,0.7605633802816901,5,沪铜,4
retail~close,171,0.28654970760233917,0.7134502923976608,2.2682561847150252e-08,4.0590082044052405e-08,100,0.28,71,0.29577464788732394,5,沪铜,4
main~retail,171,0.1871345029239766,0.8128654970760234,4.234712747717793e-17,2.0175812067925274e-16,78,0.15384615384615385,93,0.21505376344086022,5,沪铜,4
main~close,177,0.6045197740112994,0.3785310734463277,0.006645653364320776,0.0027700417345812344,93,0.6344086021505376,81,0.5925925925925926,6,沪铝,2
retail~close,177,0.2994350282485876,0.6836158192090396,9.73048772250304e-08,3.5254161849350167e-07,93,0.25806451612903225,81,0.35802469135802467,6,沪铝,2
main~retail,177,0.192090395480226,0.807909604519774,4.193240929087843e-17,2.8156205198080105e-16,78,0.1794871794871795,99,0.20202020202020202,6,沪铝,2
main~close,174,0.7126436781609196,0.27011494252873564,1.930315429665159e-08,3.915971974229533e-09,100,0.71,71,0.7464788732394366,6,沪铝,3
retail~close,174,0.25287356321839083,0.7298850574712644,4.6665853814499044e-11,2.438933731949179e-10,100,0.27,71,0.23943661971830985,6,沪铝,3
main~retail,174,0.14367816091954022,0.8563218390804598,1.0880793975070687e-22,5.943493447546377e-21,82,0.14634146341463414,92,0.14130434782608695,6,沪铝,3
main~close,171,0.7602339181286549,0.23391812865497075,5.544444497509206e-12,1.4749539249514233e-12,102,0.7156862745098039,68,0.8382352941176471,6,沪铝,4
retail~close,171,0.23976608187134502,0.7543859649122807,5.544444497509206e-12,2.6006581310715782e-11,102,0.24509803921568626,68,0.23529411764705882,6,沪铝,4
main~retail,171,0.12280701754385964,0.8771929824561403,3.2951708416260697e-25,3.24818075063482e-23,78,0.07692307692307693,93,0.16129032258064516,6,沪铝,4
main~close,177,0.655367231638418,0.3333333333333333,4.322989229221198e-05,9.249989846366688e-06,97,0.6185567010309279,78,0.717948717948718,7,沪锌,2
retail~close,177,0.2994350282485876,0.6836158192090396,9.73048772250304e-08,3.218368103471197e-07,97,0.29896907216494845,78,0.3076923076923077,7,沪锌,2
main~retail,177,0.20903954802259886,0.7853107344632768,2.664970289875489e-15,7.902691917679631e-15,84,0.15476190476190477,92,0.2608695652173913,7,沪锌,2
main~close,174,0.6379310344827587,0.3563218390804598,0.0003389405285547461,0.00012873520106411877,96,0.6041666666666666,77,0.6883116883116883,7,沪锌,3
retail~close,174,0.28735632183908044,0.7011494252873564,1.930315429665159e-08,3.249308312872285e-08,96,0.3125,77,0.2597402597402597,7,沪锌,3
main~retail,174,0.20689655172413793,0.7873563218390804,2.802942608077484e-15,1.5243891707825746e-14,87,0.1839080459770115,86,0.23255813953488372,7,沪锌,3
main~close,171,0.6432748538011696,0.3391812865497076,0.00022108069170281278,3.6184602140596734e-05,91,0.6043956043956044,77,0.7142857142857143,7,沪锌,4
retail~close,171,0.30409356725146197,0.6783625730994152,3.2070796392642856e-07,5.827735404607074e-07,91,0.34065934065934067,77,0.2727272727272727,7,沪锌,4
main~retail,171,0.18128654970760233,0.8187134502923976,9.573452512776568e-18,7.2170239114497e-17,87,0.14942528735632185,84,0.21428571428571427,7,沪锌,4
main~close,177,0.6497175141242938,0.3050847457627119,8.295915395809707e-05,2.5770875604467015e-06,87,0.6666666666666666,82,0.6951219512195121,8,沪铅,2
retail~close,177,0.23163841807909605,0.7062146892655368,4.240491398201389e-13,6.76516048536824e-11,87,0.25287356321839083,82,0.23170731707317074,8,沪铅,2
main~retail,177,0.20903954802259886,0.7740112994350282,2.664970289875489e-15,3.5355172240915203e-14,89,0.20224719101123595,85,0.2235294117647059,8,沪铅,2
main~close,174,0.7241379310344828,0.27011494252873564,2.901034782387597e-09,1.8759072980706425e-09,86,0.7093023255813954,87,0.7471264367816092,8,沪铅,3
retail~close,174,0.21839080459770116,0.7701149425287356,3.862431051529525e-14,2.444631659708382e-13,86,0.23255813953488372,87,0.20689655172413793,8,沪铅,3
main~retail,174,0.22988505747126436,0.764367816091954,4.664600328532964e-13,1.568650874341071e-12,88,0.2159090909090909,85,0.24705882352941178,8,沪铅,3
main~close,171,0.7134502923976608,0.26900584795321636,2.2682561847150252e-08,3.5197799410248116e-09,87,0.6896551724137931,81,0.7654320987654321,8,沪铅,4
retail~close,171,0.1871345029239766,0.7894736842105263,4.234712747717793e-17,1.2727246168927008e-15,87,0.21839080459770116,81,0.16049382716049382,8,沪铅,4
main~retail,171,0.21052631578947367,0.783625730994152,1.1219334241242467e-14,5.645787355074339e-14,86,0.19767441860465115,84,0.2261904761904762,8,沪铅,4
main~close,177,0.6666666666666666,0.3333333333333333,1.092425334845219e-05,9.79439110248093e-06,91,0.6923076923076923,86,0.6395348837209303,9,沪锡,2
retail~close,177,0.3389830508474576,0.6610169491525424,2.1995286919066494e-05,1.8353233333617658e-05,91,0.34065934065934067,86,0.3372093023255814,9,沪锡,2
main~retail,177,0.1977401129943503,0.8022598870056498,1.732420325973539e-16,8.036927425130304e-16,88,0.22727272727272727,89,0.16853932584269662,9,沪锡,2
main~close,174,0.7241379310344828,0.27011494252873564,2.901034782387597e-09,1.891117262925156e-09,101,0.7128712871287128,72,0.75,9,沪锡,3
retail~close,174,0.3333333333333333,0.6609195402298851,1.3051948574184818e-05,5.4355076122829666e-06,101,0.38613861386138615,72,0.2638888888888889,9,沪锡,3
main~retail,174,0.16666666666666666,0.8333333333333334,9.388423957840485e-20,8.537276061071677e-19,92,0.20652173913043478,82,0.12195121951219512,9,沪锡,3
main~close,171,0.7543859649122807,0.24561403508771928,1.7408982267657085e-11,1.3276682968110746e-11,102,0.7156862745098039,69,0.8115942028985508,9,沪锡,4
retail~close,171,0.30994152046783624,0.6900584795321637,7.34792431939043e-07,2.699490267549901e-07,102,0.35294117647058826,69,0.2463768115942029,9,沪锡,4
main~retail,171,0.18128654970760233,0.8187134502923976,9.573452512776568e-18,7.342635878487581e-17,88,0.19318181818181818,83,0.1686746987951807,9,沪锡,4
main~close,177,0.5084745762711864,0.4915254237288136,0.8805599174040935,0.8264608378768104,90,0.5222222222222223,87,0.4942528735632184,10,工业硅,2
retail~close,177,0.536723163841808,0.4632768361581921,0.3671138447980256,0.32779248983618925,90,0.5333333333333333,87,0.5402298850574713,10,工业硅,2
main~retail,177,0.2824858757062147,0.7175141242937854,6.480862454151565e-09,7.124922747189296e-09,88,0.29545454545454547,89,0.2696629213483146,10,工业硅,2
main~close,174,0.5804597701149425,0.40229885057471265,0.040363102046086126,0.018202737110053727,88,0.6022727272727273,83,0.5783132530120482,10,工业硅,3
retail~close,174,0.4827586206896552,0.5,0.7047680231195158,0.8132300224715522,88,0.5,83,0.4819277108433735,10,工业硅,3
main~retail,174,0.3160919540229885,0.6839080459770115,1.376065667839387e-06,1.1361293861941445e-06,89,0.33707865168539325,85,0.29411764705882354,10,工业硅,3
main~close,171,0.5847953216374269,0.4093567251461988,0.031954028592738,0.021004345363115944,84,0.6071428571428571,86,0.5697674418604651,10,工业硅,4
retail~close,171,0.38596491228070173,0.6081871345029239,0.0035379775075490873,0.00360195486369975,84,0.40476190476190477,86,0.37209302325581395,10,工业硅,4
main~retail,171,0.3157894736842105,0.6842105263157895,1.639643676855498e-06,1.3016185716182187e-06,89,0.33707865168539325,82,0.2926829268292683,10,工业硅,4
main~close,177,0.5254237288135594,0.4745762711864407,0.5477509096395387,0.5291475293146803,84,0.4880952380952381,93,0.5591397849462365,11,多晶硅,2
retail~close,177,0.4971751412429379,0.4858757062146893,1.0,0.8724010246016843,84,0.5,93,0.4946236559139785,11,多晶硅,2
main~retail,177,0.24293785310734464,0.7401129943502824,4.4289464995098345e-12,2.4364304086687734e-11,88,0.2159090909090909,86,0.27906976744186046,11,多晶硅,2
main~close,174,0.5747126436781609,0.42528735632183906,0.05774745529642945,0.06591428046815034,80,0.5,94,0.6382978723404256,11,多晶硅,3
retail~close,174,0.4367816091954023,0.5632183908045977,0.11112046966151856,0.08708573015528744,80,0.4125,94,0.4574468085106383,11,多晶硅,3
main~retail,174,0.20689655172413793,0.7931034482758621,2.802942608077484e-15,2.9304380488707767e-15,84,0.11904761904761904,90,0.28888888888888886,11,多晶硅,3
main~close,171,0.5964912280701754,0.40350877192982454,0.01416227003559063,0.013280245328507582,81,0.5555555555555556,90,0.6333333333333333,11,多晶硅,4
retail~close,171,0.40350877192982454,0.5847953216374269,0.01416227003559063,0.01749807327981083,81,0.4074074074074074,90,0.4,11,多晶硅,4
main~retail,171,0.19298245614035087,0.7953216374269005,1.803938189938987e-16,2.1902622143463812e-15,86,0.16279069767441862,83,0.2289156626506024,11,多晶硅,4
main~close,177,0.4971751412429379,0.4915254237288136,1.0,0.9377568947059733,107,0.5233644859813084,68,0.47058823529411764,12,碳酸锂,2
retail~close,177,0.4293785310734463,0.559322033898305,0.07093821456094433,0.08329122552008031,107,0.4392523364485981,68,0.4264705882352941,12,碳酸锂,2
main~retail,177,0.2994350282485876,0.7005649717514124,9.73048772250304e-08,9.399022466723063e-08,88,0.3181818181818182,89,0.2808988764044944,12,碳酸锂,2
main~close,174,0.603448275862069,0.39080459770114945,0.007787929777679084,0.003234694258724868,110,0.5818181818181818,63,0.6507936507936508,12,碳酸锂,3
retail~close,174,0.3850574712643678,0.6091954022988506,0.002999944811506539,0.0022164455681172395,110,0.4090909090909091,63,0.3492063492063492,12,碳酸锂,3
main~retail,174,0.28160919540229884,0.7183908045977011,7.587354643605879e-09,8.315957322584312e-09,87,0.27586206896551724,87,0.28735632183908044,12,碳酸锂,3
main~close,171,0.672514619883041,0.3216374269005848,7.551730187471968e-06,2.4138469264644034e-06,101,0.6435643564356436,69,0.7246376811594203,12,碳酸锂,4
retail~close,171,0.34502923976608185,0.6491228070175439,6.16903575171755e-05,4.30459546810504e-05,101,0.37623762376237624,69,0.30434782608695654,12,碳酸锂,4
main~retail,171,0.2573099415204678,0.7426900584795322,1.5654765248120956e-10,2.1964189768347032e-10,86,0.2558139534883721,85,0.25882352941176473,12,碳酸锂,4
main~close,177,0.655367231638418,0.3446327683615819,4.322989229221198e-05,3.6809203487516204e-05,102,0.6470588235294118,75,0.6666666666666666,13,沪金,2
retail~close,177,0.2768361581920904,0.7231638418079096,2.4894955382320546e-09,2.6377525057462975e-09,102,0.29411764705882354,75,0.25333333333333335,13,沪金,2
main~retail,177,0.192090395480226,0.807909604519774,4.193240929087843e-17,2.6371250691881663e-16,86,0.19767441860465115,91,0.18681318681318682,13,沪金,2
main~close,174,0.7183908045977011,0.28160919540229884,7.587354643605879e-09,5.291335165169305e-09,106,0.6886792452830188,68,0.7647058823529411,13,沪金,3
retail~close,174,0.3218390804597701,0.6781609195402298,2.9873726008990803e-06,1.72822498176458e-06,106,0.3490566037735849,68,0.27941176470588236,13,沪金,3
